Name of Plant,Scientific Name,Family,Related Database,Therapeutic Use,Tissue & Part,Preparation Method,NE State Availability,Phytochemical(s),Phytochemical Reference,Literature Reference
Oyster Bay Pine,Callitris rhomboidea,Cupressaceae,AYUSH,OBESITY,,,,,,"Non-Alcoholic Fatty Liver Disease (NAFLD) and the Clinical Evaluation of Luk Maghsool (Coccus lacca Kerr.), Sandroos (Callitris rhomboidea R.Br. ex Rich.),Ispaghol(Plantagoovata Forssk.) and Afsantin (Artemisia absinthium Linn.) in its Management- A Pilot Study"
blond plantain,Plantagoovata Forssk.,Plantaginaceae,AYUSH,OBESITY,,,,,,"Non-Alcoholic Fatty Liver Disease (NAFLD) and the Clinical Evaluation of Luk Maghsool (Coccus lacca Kerr.), Sandroos (Callitris rhomboidea R.Br. ex Rich.),Ispaghol(Plantagoovata Forssk.) and Afsantin (Artemisia absinthium Linn.) in its Management- A Pilot Study"
wormwood,Artemisia absinthium Linn.,Asteraceae,AYUSH,OBESITY,,,,,,"Non-Alcoholic Fatty Liver Disease (NAFLD) and the Clinical Evaluation of Luk Maghsool (Coccus lacca Kerr.), Sandroos (Callitris rhomboidea R.Br. ex Rich.),Ispaghol(Plantagoovata Forssk.) and Afsantin (Artemisia absinthium Linn.) in its Management- A Pilot Study"
French lavender,Lavandula stoechas,Lamiaceae,AYUSH,EPILEPSY,,,,,,Anti-epileptic activity of Ustukhudus (Lavandula stoechas) Ð In a case of secondary epilepsy (A Case Report).
Akarkara,Anacyclus pyrethrum DC.,Asteraceae,AYUSH,EPILEPSY,,,,,,https://ayushportal.nic.in/pdf/96922.pdf
ashwagandha,WITHANIA SOMNIFERA,Solanaceae,AYUSH,MALIGNANT NEOPLASM OF SKIN,Root,,,,,https://pubmed.ncbi.nlm.nih.gov/15330502/
Indian bael,Aegle marmelos (L.) Correa,Rutaceae,AYUSH,DISEASE DIGESTIVE SYSTEM,,,,,,https://ayushportal.nic.in/pdf/18153.pdf
large cardamom,Amomum subulatum Roxb.,Zingiberaceae,AYUSH,DISEASE DIGESTIVE SYSTEM,,,,,,https://nopr.niscpr.res.in/bitstream/123456789/8511/1/IJTK%204(3)%20298-302.pdf
green cardamom,Elettaria cardamomum Maton.,Zingiberaceae,AYUSH,DISEASE DIGESTIVE SYSTEM,,,,,,https://nopr.niscpr.res.in/bitstream/123456789/8511/1/IJTK%204(3)%20298-302.pdf
pomegranate,Punica granatum Linn.,Lythraceae,AYUSH,DISEASE DIGESTIVE SYSTEM,,,,,,https://www.tsijournals.com/articles/aqueous-methanolic-extract-of-punica-granatum-protect-against-alcohol-induced-gastric-ulcer-in-rats.pdf
bael,Aegle marmelos Linn.,Rutaceae,AYUSH,DISEASE DIGESTIVE SYSTEM,,,,,,https://ayushportal.nic.in/pdf/16892.pdf
wormwood,Artemisia absinthium Linn.,Asteraceae,AYUSH,GASTROINTESTINAL INFECTION,,,,,,https://www.cabidigitallibrary.org/doi/full/10.5555/19980304646
baheda,Terminalia bellirica,Combretaceae,AYUSH,GASTROINTESTINAL INFECTION,,,,,,https://ayushportal.nic.in/pdf/64731.pdf
pomegranate,Punica granatum Linn.,Lythraceae,AYUSH,GASTROINTESTINAL INFECTION,,,,,,https://ayushportal.nic.in/pdf/64731.pdf
Madar,Calotropis procera R.Br.,Apocynaceae,AYUSH,GASTROINTESTINAL INFECTION,,,,,,"Clinical Study of Post-e-Bekh-e-Madar (Calotropis procera R.Br.) & Marorephali (Helicteres isora, Linn.) in Zaheere-e-Amoebai (Intestinal Amoebiasis)."
Indian screw tree,"Helicteres isora, Linn.",Malvaceae,AYUSH,GASTROINTESTINAL INFECTION,,,,,,"Clinical Study of Post-e-Bekh-e-Madar (Calotropis procera R.Br.) & Marorephali (Helicteres isora, Linn.) in Zaheere-e-Amoebai (Intestinal Amoebiasis)."
bael,Aegle marmelos Linn.,Rutaceae,AYUSH,GASTROINTESTINAL INFECTION,,,,,,https://pubmed.ncbi.nlm.nih.gov/15238156/
crown flower,Calotropis gigantean,Apocynaceae,AYUSH,RHEUMATOID/SEROPOSITIVE ARTHRITIS,,,,,,"Clinical Evaluation of a Combination of Gul-e-Aakh (Calotropis gigantean), Barg-e-Bans (Bambusa arundinacea), Filfil Siyah (Piper nigrum), Zanjabeel (Gingibar officinale), Suranjan Shireen (Colchicum autumnale), Kushta-e-Faulad (Calcined iron) and Sat-e-Salajeet (Asphalt) in Gout (Niqris)"
thorny bamboo,Bambusa arundinacea,Poaceae,AYUSH,RHEUMATOID/SEROPOSITIVE ARTHRITIS,,,,,,"Clinical Evaluation of a Combination of Gul-e-Aakh (Calotropis gigantean), Barg-e-Bans (Bambusa arundinacea), Filfil Siyah (Piper nigrum), Zanjabeel (Gingibar officinale), Suranjan Shireen (Colchicum autumnale), Kushta-e-Faulad (Calcined iron) and Sat-e-Salajeet (Asphalt) in Gout (Niqris)"
Black pepper,Piper nigrum,Piperaceae,AYUSH,RHEUMATOID/SEROPOSITIVE ARTHRITIS,,,,,,"Clinical Evaluation of a Combination of Gul-e-Aakh (Calotropis gigantean), Barg-e-Bans (Bambusa arundinacea), Filfil Siyah (Piper nigrum), Zanjabeel (Gingibar officinale), Suranjan Shireen (Colchicum autumnale), Kushta-e-Faulad (Calcined iron) and Sat-e-Salajeet (Asphalt) in Gout (Niqris)"
ginger,ZINGIBER OFFICINALE,Zingiberaceae,AYUSH,RHEUMATOID/SEROPOSITIVE ARTHRITIS,,,,,,"Clinical Evaluation of a Combination of Gul-e-Aakh (Calotropis gigantean), Barg-e-Bans (Bambusa arundinacea), Filfil Siyah (Piper nigrum), Zanjabeel (Gingibar officinale), Suranjan Shireen (Colchicum autumnale), Kushta-e-Faulad (Calcined iron) and Sat-e-Salajeet (Asphalt) in Gout (Niqris)"
Autumn crocus,Colchicum autumnale,Colchicaceae,AYUSH,RHEUMATOID/SEROPOSITIVE ARTHRITIS,,,,,,"Clinical Evaluation of a Combination of Gul-e-Aakh (Calotropis gigantean), Barg-e-Bans (Bambusa arundinacea), Filfil Siyah (Piper nigrum), Zanjabeel (Gingibar officinale), Suranjan Shireen (Colchicum autumnale), Kushta-e-Faulad (Calcined iron) and Sat-e-Salajeet (Asphalt) in Gout (Niqris)"
Swertia,Swertia chirata,Gentianaceae,AYUSH,RHEUMATOID/SEROPOSITIVE ARTHRITIS,,,,,,https://ayushportal.nic.in/pdf/11875.pdf
Yellow Colchicum,Colchicum luteum,Colchicaceae,AYUSH,RHEUMATOID/SEROPOSITIVE ARTHRITIS,,,,,,The Study of Anti-Arthritic Activity of Suranjan-e- Talkh (Colchicum luteum) in an Animal Model of Rheumatoid Arthritis
Golden shower tree,Cassia fistula,Fabaceae,AYUSH,SINUSITIS ACUTE/CHRONIC,,,,,,https://agris.fao.org/search/en/providers/122650/records/647240e508fd68d546002b66
Prickly Chaff Flower,Achyranthes aspera Linn,Amaranthaceae,AYUSH,ASTHMA,,,,,,Effect of Namak Chirchita (Achyranthes aspera Linn.) in Zeeq-un-Nafs Shobi (Bronchial Asthma).
Homeopathy ,,,,,,,,,,
Mountain arnica,Arnica montana,Asteraceae,AYUSH,ABNORMAL CERVIX SMEAR,,,,,,https://pubmed.ncbi.nlm.nih.gov/15139092/
hawthorn,crataegus oxycantha linn.,Rosaceae,AYUSH,ABNORMAL RESULT INVESTIGATION NOS,,,,,,Antithrombic activity of crataegus oxycantha linn. mother tincture in albino mice.
Mountain arnica,Arnica montana,Asteraceae,AYUSH,ABNORMAL RESULT INVESTIGATION NOS,,,,,,https://ayushportal.nic.in/pdf/8257.pdf
Neem,Azadirachta indica,Meliaceae,AYUSH,ACNE,,,,,,https://www.ijrh.org/journal/vol8/iss4/6/
American spikenard,ARALIA RACEMOSA,Araliaceae,AYUSH,ASTHMA,,,,,,AN OPEN LABEL RANDOMIZED CLINICAL TRIAL TO COMPARE THE EFFECTIVENESS OF ARALIA RACEMOSA WITH INDIVIDUALIZED HOMOEOPATHIC MEDICINES IN THE TREATMENT OF CHILDHOOD BRONCHIAL ASTHMA
Mountain arnica,Arnica montana,Asteraceae,AYUSH,CARDIOVASCULAR DISEASE,,,,,,https://pubmed.ncbi.nlm.nih.gov/20233176/
white bryony,Bryonia alba,Cucurbitaceae,AYUSH,CARDIOVASCULAR DISEASE,,,,,,https://pubmed.ncbi.nlm.nih.gov/20233176/
Hawthorn,CRATAEGUS OXYACANTHA,Rosaceae,AYUSH,CARDIOVASCULAR DISEASE,,,,,,PHYTOCHEMICAL ANALYSIS OF CRATAEGUS OXYACANTHA MOTHER TINCTURE AND EVALUATION OF ITS 6C DILUTION ON QUALITY OF LIFE IN PATIENTS OF CARDIOVASCULAR DISEASES HAVING DEPRESSED LEFT VENTRICULAR EJECTION FRACTION
dusty miller,Cineraria maritima,Asteraceae,AYUSH,CATARACT,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0007078570800345
poison hemlock,Conium Maculatum,Apiaceae,AYUSH,CATARACT,,,,,,https://ayushportal.nic.in/pdf/7843.pdf
Mugwort,Artemisia vulgaris,Asteraceae,AYUSH,CONGENITAL SKIN ANOMALY,,,,,,https://www.thieme-connect.com/products/ejournals/abstract/10.1016/S0007-0785(87)80096-0?device=mobile&innerWidth=980&offsetWidth=980
fragrant sumac,Rhus Aromaticus,Anacardiaceae,AYUSH,DIABETES INSULIN DEPENDENT,,,,,,"https://www.saspublishers.com/article/1472/download/#:~:text=The%20aim%20of%20the%20current,%2D%20amylase%20and%20%CE%B1%2Dglucosidase."
Kundru,cephalandra indica,Cucurbitaceae,AYUSH,DIABETES NON-INSULIN DEPENDENT,,,,,,https://ayushportal.nic.in/pdf/2473.pdf
Heart-leaved moonseed,TINOSPORA CORDIFOLIA,Menispermaceae,AYUSH,DIABETES NON-INSULIN DEPENDENT,,,,,,HPTLC EVALUATION OF TINOSPORA CORDIFOLIA MOTHER TINCTURE AND ASCERTAINING ITS EFFECTIVENESS IN COMPARISON TO INDIVIDUALIZED HOMOEOPATHIC MEDICINES IN THE TREATMENT OF TYPE II DIABETES MELLITUS: AN OPEN RANDOMIZED PRAGMATIC TRIAL
deadly nightshade,Atropa belladonna,Solanaceae,AYUSH,DISEASE DIGESTIVE SYSTEM OTHER,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S147549160400075X
narrow-leaved purple coneflower,Echinacea angustifolia,Asteraceae,AYUSH,DISEASE DIGESTIVE SYSTEM OTHER,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S147549160400075X
fly agaric,Agaricus muscarius,Agaricaceae,AYUSH,EPILEPSY,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0007078597800804
Scutch grass,cynodon dactylon,Poaceae,AYUSH,GASTROINTESTINAL INFECTION,,,,,,https://ayushportal.nic.in/pdf/2487.pdf
Mountain arnica,Arnica montana,Asteraceae,AYUSH,GENERAL DISEASE - NONSPECIFIC,,,,,,https://pubmed.ncbi.nlm.nih.gov/23290879/
Indian snakeroot,Rauwolfia Serpentina,Apocynaceae,AYUSH,HYPERTENSION UNCOMPLICATED,,,,,,https://sciforschenonline.org/journals/drug/article-data/JDRD-2-111/JDRD-2-111.pdf
Arjun tree,TERMINALIA ARJUNA,Combretaceae,AYUSH,HYPERTENSION UNCOMPLICATED,,,,,,PHYTOCHEMICAL ANALYSIS OF TERMINALIA ARJUNA MOTHER TINCTURE AND ASCERTAINING EFFECTIVENESS OF ITS 30C DILUTION IN COMPARISON TO INDIVIDUALIZED HOMOEOPATHIC MEDICINES IN THE TREATMENT OF ESSENTIAL HYPERTENSION AN OPEN RANDOMIZED PRAGMATIC TRIAL
Strychnine tree,Nux vomica,Loganiaceae,AYUSH,INFECTIONS OF MUSCULOSKELETAL SYSTEM,,,,,,https://pubmed.ncbi.nlm.nih.gov/16569627/
white bryony,Bryonia alba,Cucurbitaceae,AYUSH,INFECTIOUS DISEASE OTHER,,,,,,"Homoeopathic Genus Epidemicus 'Bryonia alba' as a prophylactic during an outbreak of Chikungunya in India: A cluster -randomised, double -blind, placebo- controlled trial"
greater celandine,Chelidonium majus,Papaveraceae,AYUSH,LIVER DISEASE NOS,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S1475491610000573
Stag's-horn clubmoss,Lycopodium clavatum,Lycopodiaceae,AYUSH,MALIGNANCY NOS,,,,,,"https://www.ajol.info/index.php/ijbcs/article/view/60510#:~:text=Ethanolic%20extract%20of%20spores%20of,diet%20(negative%20control)%3B%20Gr."
Mountain arnica,Arnica montana,Asteraceae,AYUSH,MALIGNANT NEOPLASM BREAST FEMALE,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5289077/pdf/JIE-6-1.pdf
mistletoe,Viscum album,Santalaceae,AYUSH,MALIGNANT NEOPLASM BRONCHUS/LUNG,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC1020884/pdf/thorax00336-0067.pdf
Common rue,Ruta graveolens,Rutaceae,AYUSH,MALIGNANT NEOPLASM COLON/RECTUM,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S147549161400099X
Belladonna,Atropa belladonna,Solanaceae,AYUSH,MENINGITIS/ENCEPHALITIS,,,,,,https://ayushportal.nic.in/pdf/2244.pdf
Arborvitae,Thuja occidentalis,Cupressaceae,AYUSH,OSTEOARTHROSIS,,,,,,https://www.researchgate.net/publication/336254522_Homoeopathic_drug_dilutions_of_Thuja_occidentalis_attenuate_complete_Freund's_adjuvant-induced_arthritis_in_Wistar_rats
Common pricklyash,xanthoxylum americanum,Rutaceae,AYUSH,PAIN AND OTHER CONDITIONS ASSOCIATED WITH FEMALE GENITAL ORGANS AND MENSTRUAL CYCLE,,,,,,https://ayushportal.nic.in/pdf/10341.pdf
Garden star-of-bethlehem,ORNITHOGALLUM UMBELLATUM,Asparagaceae,AYUSH,PEPTIC ULCER,,,,,,"PHYTOCHEMICAL ANALYSIS OF ORNITHOGALLUM UMBELLATUM MOTHER TINCTURE AND EVALUATION OF EFFECTS OF MOTHER TINCTURE, 6C AND 30C DILUTIONS ON INDOMETHACIN INDUCED GASTRIC ULCERATION ON SPRAGUE DAWLEY RATS"
Calabar Bean,Physostigma Venenosum,Fabaceae,AYUSH,REFRACTIVE ERROR,,,,,,https://ayushportal.nic.in/pdf/7851.pdf
purple passionflower,Passiflora incarnata,Passifloraceae,AYUSH,SLEEP DISTURBANCE,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11026993/
Perforate St John's-wort,Hypericum perforatum,Hypericaceae,AYUSH,TEETH/GUM DISEASE,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S1475491612000537
Perforate St John's-wort,Hypericum perforatum,Hypericaceae,AYUSH,TETANUS,,,,,,Anti-tetanus activity of hypericum perforatum l: an experimental approach
European spindle,EUONYMUS EUROPAEUS,Celastraceae,AYUSH,TOXIC EFFECT NON-MEDICINAL SUBSTANCE,,,,,,MIC POISONING AND EFFECT OF EUONYMUS EUROPAEUS
Mountain arnica,Arnica montana,Asteraceae,AYUSH,TRAUMA/INJURY,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8537440/
Barberry,Berberis vulgaris,Berberidaceae,AYUSH,URINARY CALCULUS,,,,,,https://pubmed.ncbi.nlm.nih.gov/24603624/
sarsaparilla,SARSAPARILLA OFFICINALIS,Smilacaceae,AYUSH,URINARY CALCULUS,,,,,,https://www.researchgate.net/publication/354413588_IN_VITRO_STUDY_OF_HOMOEOPATHIC_MEDICINE_SARSAPARILLA_Q_6C_12C_30C_200C_1M_AS_AN_INHIBITOR_OF_CALCIUM_OXALATE_AND_CALCIUM_PHOSPHATE_CRYSTALLISATION
Stag's-horn clubmoss,Lycopodium clavatum,Lycopodiaceae,AYUSH,URINARY CALCULUS,,,,,,https://www.researchgate.net/publication/230674711_To_explore_the_utility_of_Homoeopathic_medicine_'Lycopodium_clavatum'_in_Urinary_calculi
Aconite,Aconitum napellus,Ranunculaceae,AYUSH,VIRAL DISEASE,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S2095496417603297
Common boneset,Eupatorium perfoliatum,Asteraceae,AYUSH,WORMS/OTHER PARASITES,,,,,,https://pubmed.ncbi.nlm.nih.gov/17015193/
Siddha,,,,,,,,,,
velvet bean,MUCUNA PRURIENS (LINN.),Fabaceae,AYUSH,ABNORMAL RESULT INVESTIGATION,,,,,,https://pubmed.ncbi.nlm.nih.gov/20456630/
banana,MUSA PARADISIACA L.,Musaceae,AYUSH,PEPTIC ULCER,,,,,,https://nopr.niscpr.res.in/bitstream/123456789/9350/1/IJTK%203%282%29%20168-176.pdf
Senna,cassia angustifolia Vahl.,Fabaceae,AYUSH,PEPTIC ULCER,,,,,,A study on Nilavaagai (cassia angustifolia Vahl.)
onion,ALLIUM CEPA,Liliaceae,AYUSH,PEPTIC ULCER,,,,,,https://siddhacouncil.com/ccrs/wp-content/uploads/2018/10/07.pdf
bael,AEGLE MARMELOS LINN.,Rutaceae,AYUSH,PEPTIC ULCER,,,,,,https://journals.lww.com/jimh/abstract/2009/39020/medico_historical_study_of_a_smdha_drug__vilvam_.4.aspx
lesser cardamom,ELETTARIA CARDAMOMUM,Zingiberaceae,AYUSH,PEPTIC ULCER,,,,,,https://scijournals.onlinelibrary.wiley.com/doi/abs/10.1002/jsfa.2740360605
Gum arabic tree,Acacia arabica,Fabaceae,AYUSH,DIABETES NON-INSULIN DEPENDENT,,,,,,A study on Karuvelum pattai (Acacia arabica Willd) for Madhumegam
bael,AEGLE MARMELOS LINN.,Rutaceae,AYUSH,DIABETES NON-INSULIN DEPENDENT,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S2212958817300174
Soybean,GLYCINE MAX,Fabaceae,AYUSH,DIABETES NON-INSULIN DEPENDENT,,,,,,https://ijpsr.com/bft-article/antidiabetic-and-lipid-lowering-extenuating-impact-of-glycine-max-leaves-soyabean-in-type-ii-diabetes-mellitus-subjectsdiabetes-mellitus-is-possibly-the-worlds-largest-growing-metabolic-dis/
Java Plum,SYZYGIUM CUMINI,Myrtaceae,AYUSH,DIABETES NON-INSULIN DEPENDENT,,,,,,https://www.researchgate.net/publication/321748288_Effectiveness_of_Syzygium_cumini_Naval_Root_Decoction_of_on_Diabetics_Mellitus_Mathumeaham
bael,AEGLE MARMELOS LINN.,Rutaceae,AYUSH,GASTROINTESTINAL INFECTION,,,,,,https://www.researchgate.net/publication/352408687_Pharmacognostic_Evaluation_of_Aegle_marmelos_L_Correa_Leaves
cluster fig tree,FICUS GLOMERATA ROXB.,Moraceae,AYUSH,GASTROINTESTINAL INFECTION,,,,,,https://pubmed.ncbi.nlm.nih.gov/19569451/
Madras Pea Pumpkin,MUKIA MADERASPATNA LINN,Cucurbitaceae,AYUSH,ASTHMA,,,,,,https://www.researchgate.net/publication/341609159_A_Single_case_study_on_the_therapeutic_effectiveness_of_Mukia_maderaspatna_Linn_Roem_the_management_of_Bronchial_Asthma
Prickly Chaff Flower,ACHYRANTHES ASPERA,Amaranthaceae,AYUSH,ASTHMA,,,,,,https://www.academia.edu/5781748/Paper_14_A_Pilot_Study_of_Naayuruvi_Thailam_in_Eraippu_Noi_Bronchial_Asthma_
Yellow-fruit nightshade,SOLANUM XANTHOCARPUM,Solanaceae,AYUSH,ASTHMA,,,,,,https://pubmed.ncbi.nlm.nih.gov/10433479/
Purple-fruited Pea Eggplant,SOLANUM TRILOBATUM,Solanaceae,AYUSH,ASTHMA,,,,,,https://pubmed.ncbi.nlm.nih.gov/10433479/
Golden Eye Grass,CURCULIGO ORCHIOIDES,Hypoxidaceae,AYUSH,ASTHMA,,,,,,https://www.ijpsonline.com/articles/evaluation-of-antiasthmatic-activity-of-curculigo-orchioides-gaertn-rhizomes.pdf
Tarangambadi Justicia,Justicia tranquebariensis L.,Acanthaceae,AYUSH,ASTHMA,,,,,,https://d1wqtxts1xzle7.cloudfront.net/35358149/PA-400420-_5_-libre.pdf?1414801758=&response-content-disposition=inline%3B+filename%3DClinical_Evaluation_of_Justicia_tranqueb.pdf&Expires=1751199193&Signature=eiLJSkOnSP8J2IyiUawX0rTikqgh12wo-MOdCzr3tnOjwWp7f32fEb0Dzwr4ECUQnyfELZxCKD98EHzqzNVmJX-s2iTQwgi9maRTamcNShqjlH6z88sweNMM1CW-6x7tO3V~GuwAtyqSv0S2f5hy8Gwh8Ypjx52r3mUnhPqos3qJ8SK2SVwk4hws-20~K3YGqWCq0bM67fRrTk0M5mS0LTN8RR4eiNHbNdqxmqRiIOMUHhWNG9Zeo4RE69k9r8ekwniAcfJK4P5h~jCr2SB7AsoRGwPAsM7jbys-fEJyqiNulx4U639arEe-T~lhHtAw7REzbCdyEu-99VxHFZ5p2Q__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA
anise,PIMPINELLA ANNISUM,Apiaceae,AYUSH,ASTHMA,,,,,,https://medcraveonline.com/IJCAM/IJCAM-12-00470.pdf
Malabar nut,ADHATODA VASICA,Acanthaceae,AYUSH,ASTHMA,,,,,,https://pubmed.ncbi.nlm.nih.gov/20390078/
Kulekhara,HYGROPHILA SPINOSA T.,Acanthaceae,AYUSH,IRON DEFICIENCY ANAEMIA,,,,,,https://pubmed.ncbi.nlm.nih.gov/11491586/
borneo camphor,Dryobalanops aromatica,Dipterocarpaceae,AYUSH,OSTEOARTHROSIS OF KNEE,,,,,,A study on Pachaikarpooram (borneo camphor)
Indian trumpet tree,OROXYLUM INDICUM,Bignoniaceae,AYUSH,OSTEOARTHROSIS OF KNEE,,,,,,"ANTI-INFLAMMATORY AND ANALGESIC ACTIVITY OF ROOT BARK OF OROXYLUM INDICUM, VENT."
ashwagandha,WITHANIA SOMNIFERA,Solanaceae,AYUSH,OSTEOARTHROSIS OF KNEE,,,,,,https://pubmed.ncbi.nlm.nih.gov/2963652/
Malabar nut,ADHATODA VASICA,Acanthaceae,AYUSH,SECONDARY EFFECT OF TRAUMA,,,,,,https://www.researchgate.net/publication/286050346_Wound_healing_effect_of_various_extracts_of_Adhatoda_vasica
Bindii,TRIBULUS TERRESTRIS,Zygophyllaceae,AYUSH,URINARY CALCULUS,,,,,,https://europepmc.org/article/med/7959935
mountain knot grass,Aerva lanata,Amaranthaceae,AYUSH,URINARY CALCULUS,,,,,,https://pubmed.ncbi.nlm.nih.gov/11207071/
Pala Indigo Plant,WRIGHTIA TINCTORIA LINN.,Apocynaceae,AYUSH,URINARY CALCULUS,,,,,,https://ayushportal.nic.in/pdf/9401.pdf
Gale of the wind,PHYLLANTHUS AMARUS,Phyllanthaceae,AYUSH,LIVER DISEASE NOS,,,,,,https://pubmed.ncbi.nlm.nih.gov/20854871/
African basil,OCIMUM GRATISSIMUM,Lamiaceae,AYUSH,LIVER DISEASE NOS,,,,,,https://www.researchgate.net/publication/266212206_Effect_of_aqueous_extract_of_scent_leaf_Ocimum_gratissimum_on_carbon_tetrachloride_CCl_4_induced_liver_damage_in_albino_Wister_rats
Spanish cherry,MIMUSOPS ELENGI,SAPOTACEAE,AYUSH,CATARACT,,,,,,https://www.researchgate.net/publication/324676772_V_Bharathi_et_al_Siddha_Papers_2018_13_1_THE_EFFECTIVE_ROLE_OF_MIMUSOPS_ELENGI_MAGIZHAM_SEEDS_IN_THE_TREATMENT_OF_VELLEZHUTHU
true aloe,ALOE VERA,Asphodelaceae,AYUSH,UTEROVAGINAL PROLAPSE,,,,,,https://jos.nischennai.org/index.php/jos/article/view/85
ginger,ZINGIBER OFFICINALE,Zingiberaceae,AYUSH,OSTEOARTHROSIS OTHER,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10933899/
Heart-leaved moonseed,TINOSPORA CORDIFOLIA,Menispermaceae,AYUSH,ALLERGIC RHINITIS,,,,,,https://pubmed.ncbi.nlm.nih.gov/15619563/
cluster fig,FICUS RACEMOSA LINN.,Moraceae,AYUSH,CHRONIC ENTERITIS/ULCERATIVE COLITIS,,,,,,https://www.actapharmsci.com/uploads/pdf/pdf_110.pdf
mango,MANGIFERA INDICA,Anacardiaceae,AYUSH,CHRONIC ENTERITIS/ULCERATIVE COLITIS,,,,,,https://pubmed.ncbi.nlm.nih.gov/12499070/
Indian rosewood,DALBERGIA SISSOO (ROXB.),Fabaceae,AYUSH,CHRONIC ENTERITIS/ULCERATIVE COLITIS,Leaves,,,,,https://www.researchgate.net/publication/216309631_Studies_on_Dalbergia_sissoo_Roxb_leaves_Possible_mechanisms_of_action_in_infectious_diarrhoea
Autumn Crocus,CROCUS SATIVUS L.,Iridaceae,AYUSH,PREMENSTRUAL TENSION SYNDROME,,,,,,https://pubmed.ncbi.nlm.nih.gov/18271889/
False daisy,ECLIPTA PROSTRATA,Asteraceae,AYUSH,ATHEROSCLEROSIS/PERIPH VASCULAR DIS,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0378874105007774
Gale of the wind,PHYLLANTHUS AMARUS,Phyllanthaceae,AYUSH,HEALTH MAINT/PREVENTIVE MEDICINE,,,,,,https://pubmed.ncbi.nlm.nih.gov/16008127/
true indigo,Indigofera tinctoria,Fabaceae,AYUSH,DISEASE DIGESTIVE SYSTEM,Root,,,,,https://drive.google.com/file/d/19RbMMy_b9sM__qPUy4tz5uBG0_4s-yec/view?pli=1
Mundi,SPHAERANTHUS INDICUS LINN,Asteraceae,AYUSH,DISEASE DIGESTIVE SYSTEM,,,,,,https://www.scinapse.io/papers/2339737149
Gale of the wind,PHYLLANTHUS AMARUS,Phyllanthaceae,AYUSH,VITAMIN/NUTRITIONAL DEFICIENCY,,,,,,https://pubmed.ncbi.nlm.nih.gov/8786163/
lesser galangal,ALPINIA OFFICINARUM HANCE,Zingiberaceae,AYUSH,RHEUMATOID/SEROPOSITIVE ARTHRITIS,,,,,,https://ayushportal.nic.in/pdf/226911.pdf
Balloon vine,CARDIOSPERMUM HALICACABUM,Sapindaceae,AYUSH,RHEUMATOID/SEROPOSITIVE ARTHRITIS,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S2213434419301549
ashwagandha,WITHANIA SOMNIFERA,Solanaceae,AYUSH,RHEUMATOID/SEROPOSITIVE ARTHRITIS,,,,,,https://www.wjpps.com/Wjpps_controller/abstract_id/9883
marking nut tree,SEMECARPUS ANACARDIUM,Anacardiaceae,AYUSH,RHEUMATOID/SEROPOSITIVE ARTHRITIS,,,,,,https://pubmed.ncbi.nlm.nih.gov/8981072/
Heart-leaved moonseed,TINOSPORA CORDIFOLIA,Menispermaceae,AYUSH,VIRAL DISEASE,,,,,,https://www.researchgate.net/publication/49596166_Assessment_of_quality_of_Tinospora_cordifolia_Willd_Miers_menispermaceae_pharmacognostical_and_phyto-physicochemical
Giant calotrope,CALOTROPIS GIGANTEA,Apocynaceae,AYUSH,VIRAL DISEASE,,,,,,https://www.researchgate.net/publication/7655085_Evaluation_of_antipyretic_activity_ofCalotropis_gigantea_Asclepiadaceae_in_experimental_animals
Enicostema verticillatum,ADENEMA HYSSOPIFOLIUM,Gentianaceae,AYUSH,VIRAL DISEASE,,,,,,https://www.sciencedirect.com/science/article/pii/S1995764510601265
White-backed leaf,MALLOTUS PELTATUS,Euphorbiaceae,AYUSH,VIRAL DISEASE,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0944711304701816
Black pepper,PIPER NIGRUM,Piperaceae,AYUSH,VIRAL DISEASE,Fruits,,,,,https://docsdrive.com/pdfs/ansinet/ijb/2007/208-213.pdf
ashwagandha,WITHANIA SOMNIFERA,Solanaceae,AYUSH,VIRAL DISEASE,,,,,,https://pubmed.ncbi.nlm.nih.gov/29484895/
Heart-Leaf Sida,SIDA CORDIFOLIA,Malvaceae,AYUSH,VIRAL DISEASE,,,,,,https://pubmed.ncbi.nlm.nih.gov/18325683/
toothache plant,CLAUSENA DENTATA,Rutaceae,AYUSH,VIRAL DISEASE,,,,,,https://pubmed.ncbi.nlm.nih.gov/20391964/
